race_id,枠番,馬番,単勝ｵｯｽﾞ,人気,馬齢,斤量,距離,頭数,馬名,odds,prob,exp_roi
202530052206,2,2,3.7,1.0,4,55,1000,9,ニシノレヴィガータ,3.7,0.20898700455554248,0.7732519168555072
202530052206,3,3,13.7,7.0,5,54,1000,9,サクラアザレア,13.7,0.055861644753196806,0.7653045331187962
202530052206,4,4,4.7,4.0,5,55,1000,9,ルナエルフ,4.7,0.1603453186375643,0.7536229975965522
202530052206,5,5,4.3,3.0,4,55,1000,9,ハナカンザシ,4.3,0.17993340875034464,0.7737136576264819
202530052206,6,6,10.8,5.0,4,55,1000,9,ゴールデンアイル,10.8,0.075728677504051,0.8178697170437509
202530052206,7,7,12.6,6.0,4,52,1000,9,フルブースト,12.6,0.07028965417166091,0.8856496425629276
202530052206,8,8,43.6,8.0,7,57,1000,9,イイデチャンプ,43.6,0.014280615240049857,0.6226348244661738
202530052206,8,9,3.9,2.0,4,57,1000,9,ブラックモア,3.9,0.20969343990205533,0.8178044156180158
202530052207,1,1,10.5,4.0,9,57,1200,13,マッターホルン,10.5,0.06245864131174889,0.6558157337733633
202530052207,3,3,40.1,7.0,5,57,1200,13,フィールマイウェイ,40.1,0.0183742944812217,0.7368092086969902
202530052207,4,4,41.5,9.0,8,52,1200,13,フェアリーマジック,41.5,0.015645544028516895,0.6492900771834511
202530052207,4,5,25.7,5.0,5,57,1200,13,ストーリータイム,25.7,0.025750056674452862,0.6617764565334385
202530052207,5,6,40.7,8.0,4,55,1200,13,マナマカナ,40.7,0.018776371340628092,0.7641983135635634
202530052207,5,7,58.3,10.0,5,55,1200,13,リトルアーサー,58.3,0.013170414544688858,0.7678351679553604
202530052207,6,8,6.3,3.0,4,55,1200,13,シナモンデイジー,6.3,0.12653249453788315,0.7971547155886638
202530052207,6,9,2.2,1.0,4,56,1200,13,イモータルウインド,2.2,0.36165679234564924,0.7956449431604283
202530052207,8,12,2.8,2.0,4,57,1200,13,テーオーエジソン,2.8,0.3118667523345657,0.8732269065367838
202530052207,8,13,34.8,6.0,4,56,1200,13,トレビアンクリール,34.8,0.021238498814974582,0.7390997587611154
202530052208,1,1,13.4,3.0,4,57,1700,12,ゲームアップロード,13.4,0.052156515938232666,0.6988973135723178
202530052208,2,2,2.0,1.0,3,55,1700,12,リリーパーク,2.0,0.38210904404264384,0.7642180880852877
202530052208,3,3,34.0,6.0,4,55,1700,12,シュタイフブリーゼ,34.0,0.020674924821954745,0.7029474439464614
202530052208,5,5,15.0,4.0,4,57,1700,12,プラウドヒストリー,15.0,0.046943691944083175,0.7041553791612476
202530052208,6,7,2.1,2.0,3,57,1700,12,ハネガハエテマス,2.1,0.3826715893199323,0.8036103375718578
202530052208,8,11,16.1,5.0,4,57,1700,12,ベラジオケンシロウ,16.1,0.05233946483913946,0.8426653839101454
202530052209,1,1,18.7,7.0,6,55,1200,11,ミスナンナ,18.7,0.03925485771863479,0.7340658393384705
202530052209,2,2,9.6,3.0,3,55,1200,11,マナホクラニ,9.6,0.08846496680538761,0.849263681331721
202530052209,3,3,18.6,6.0,3,57,1200,11,ダイメイハマダ,18.6,0.044486568127888454,0.8274501671787253
202530052209,4,4,12.2,4.0,5,52,1200,11,コパノイノリ,12.2,0.0645741415913836,0.7878045274148798
202530052209,5,5,15.1,5.0,5,57,1200,11,サクラストリーム,15.1,0.04849059540046351,0.7322079905469989
202530052209,6,6,1.6,1.0,3,55,1200,11,ロピア,1.6,0.49545077702579277,0.7927212432412685
202530052209,6,7,34.3,9.0,4,56,1200,11,マジックライン,34.3,0.02330672453635903,0.7994206515971147
202530052209,7,9,23.3,8.0,7,57,1200,11,アンノウンヒーロー,23.3,0.031500491004101745,0.7339614403955707
