race_id,umaban,pop,odds
202547051301,4,5,31.6
202547051301,2,6,32.1
202547051301,3,7,57.2
202547051301,6,8,77.5
202547051302,4,1,3.7
202547051302,9,2,4.6
202547051302,1,3,6.2
202547051302,7,4,6.4
202547051302,8,5,6.4
202547051302,2,6,7.8
202547051302,3,7,11.7
202547051302,5,8,14.7
202547051302,6,9,56.9
202547051303,5,1,1.2
202547051303,1,2,8.5
202547051303,7,3,12.3
202547051303,6,4,12.6
202547051303,3,5,13.4
202547051303,4,6,22.0
202547051303,8,7,23.2
202547051303,2,8,59.7
202547051304,4,1,2.0
202547051304,2,2,4.0
202547051304,5,3,7.5
202547051304,6,4,8.7
202547051304,1,5,9.7
202547051304,8,6,12.7
202547051304,7,7,20.7
202547051304,3,8,33.1
202547051305,7,1,2.7
202547051305,6,2,4.0
202547051305,4,3,4.3
202547051305,1,4,6.5
202547051305,2,5,13.7
202547051305,3,6,15.1
202547051305,8,7,21.6
202547051305,9,8,21.6
202547051305,5,9,50.4
202547051306,6,1,1.7
202547051306,1,2,7.0
202547051306,3,3,7.4
202547051306,9,4,7.8
202547051306,7,5,10.0
202547051306,8,6,15.6
202547051306,2,7,23.4
202547051306,5,8,23.4
202547051306,10,9,46.9
202547051306,4,10,70.4
202547051307,3,1,1.7
202547051307,1,2,4.3
202547051307,8,3,7.1
202547051307,4,4,9.3
202547051307,7,5,11.0
202547051307,5,6,20.2
202547051307,2,7,24.3
202547051307,6,8,60.8
202547051308,6,1,3.0
202547051308,1,2,3.5
202547051308,3,3,3.7
202547051308,2,4,4.3
202547051308,5,5,13.6
202547051308,8,6,27.3
202547051308,4,7,54.6
202547051308,7,8,72.8
202547051309,5,1,2.9
202547051309,4,2,4.2
202547051309,3,3,4.6
202547051309,7,4,5.5
202547051309,6,5,6.1
202547051309,8,6,25.6
202547051309,9,7,28.5
202547051309,1,8,36.6
202547051309,2,9,51.3
202547051310,9,1,2.8
202547051310,2,2,4.2
202547051310,3,3,5.5
202547051310,7,4,8.0
202547051310,1,5,9.8
202547051310,8,6,11.1
202547051310,4,7,14.8
202547051310,6,8,14.8
202547051310,5,9,29.6
