1ｺｰﾅｰ,2ｺｰﾅｰ,3ｺｰﾅｰ,4ｺｰﾅｰ,グレード,タイム,データソース,トラック,上がり3F,人気,付加賞金,単勝ｵｯｽﾞ,場名,天候,年,性別,所属,斤量,日,月,本賞金,母,母父,毛色,水分,父,父父,生年,生産者,着順_num,競走名,競走条件,競走種別,競走記号,脚質,誕生月,調教師,距離,重量種別,頭数,馬主,馬体重,馬場状態,馬齢,騎手,Ｒ
,,,,,,,,,7.0,,16.3,,,,,,51,,,,,,,,,,,,,,,,,,,,1600,,12,,,,5,,
,,,,,,,,,8.0,,35.0,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,12,,,,5,,
,,,,,,,,,9.0,,36.2,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,12,,,,5,,
,,,,,,,,,13.0,,63.4,,,,,,53,,,,,,,,,,,,,,,,,,,,1200,,16,,,,5,,
,,,,,,,,,16.0,,80.3,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,16,,,,6,,
,,,,,,,,,8.0,,17.0,,,,,,54,,,,,,,,,,,,,,,,,,,,1200,,16,,,,5,,
,,,,,,,,,12.0,,55.1,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,16,,,,6,,
,,,,,,,,,7.0,,16.6,,,,,,53,,,,,,,,,,,,,,,,,,,,1200,,16,,,,5,,
,,,,,,,,,14.0,,68.0,,,,,,54,,,,,,,,,,,,,,,,,,,,1200,,16,,,,5,,
,,,,,,,,,10.0,,18.9,,,,,,54,,,,,,,,,,,,,,,,,,,,1200,,16,,,,5,,
,,,,,,,,,15.0,,76.8,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,16,,,,5,,
,,,,,,,,,11.0,,21.8,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,16,,,,4,,
,,,,,,,,,9.0,,17.7,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,16,,,,4,,
,,,,,,,,,6.0,,15.1,,,,,,54,,,,,,,,,,,,,,,,,,,,1200,,16,,,,4,,
,,,,,,,,,1.0,,2.3,,,,,,54,,,,,,,,,,,,,,,,,,,,1200,,16,,,,4,,
,,,,,,,,,3.0,,8.6,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,16,,,,4,,
,,,,,,,,,2.0,,8.5,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,16,,,,4,,
,,,,,,,,,4.0,,10.5,,,,,,54,,,,,,,,,,,,,,,,,,,,1200,,16,,,,5,,
,,,,,,,,,5.0,,14.0,,,,,,51,,,,,,,,,,,,,,,,,,,,1200,,16,,,,4,,
,,,,,,,,,10.0,,42.1,,,,,,54,,,,,,,,,,,,,,,,,,,,1400,,15,,,,8,,
,,,,,,,,,1.0,,5.2,,,,,,56,,,,,,,,,,,,,,,,,,,,1400,,15,,,,5,,
,,,,,,,,,13.0,,150.4,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,15,,,,4,,
,,,,,,,,,7.0,,9.0,,,,,,56,,,,,,,,,,,,,,,,,,,,1400,,15,,,,7,,
,,,,,,,,,3.0,,5.9,,,,,,56,,,,,,,,,,,,,,,,,,,,1400,,15,,,,4,,
,,,,,,,,,12.0,,95.6,,,,,,56,,,,,,,,,,,,,,,,,,,,1400,,15,,,,6,,
,,,,,,,,,9.0,,23.5,,,,,,53,,,,,,,,,,,,,,,,,,,,1400,,15,,,,5,,
,,,,,,,,,11.0,,69.7,,,,,,56,,,,,,,,,,,,,,,,,,,,1400,,15,,,,5,,
,,,,,,,,,8.0,,17.3,,,,,,54,,,,,,,,,,,,,,,,,,,,1400,,15,,,,5,,
,,,,,,,,,5.0,,6.5,,,,,,56,,,,,,,,,,,,,,,,,,,,1400,,15,,,,6,,
,,,,,,,,,15.0,,164.4,,,,,,56,,,,,,,,,,,,,,,,,,,,1400,,15,,,,4,,
,,,,,,,,,14.0,,161.6,,,,,,56,,,,,,,,,,,,,,,,,,,,1400,,15,,,,4,,
,,,,,,,,,4.0,,6.3,,,,,,56,,,,,,,,,,,,,,,,,,,,1400,,15,,,,6,,
,,,,,,,,,2.0,,5.8,,,,,,56,,,,,,,,,,,,,,,,,,,,1400,,15,,,,5,,
,,,,,,,,,6.0,,7.9,,,,,,56,,,,,,,,,,,,,,,,,,,,1400,,15,,,,4,,
,,,,,,,,,9.0,,20.8,,,,,,57,,,,,,,,,,,,,,,,,,,,1200,,15,,,,6,,
,,,,,,,,,4.0,,16.6,,,,,,57,,,,,,,,,,,,,,,,,,,,1200,,15,,,,6,,
,,,,,,,,,12.0,,25.4,,,,,,57,,,,,,,,,,,,,,,,,,,,1200,,15,,,,5,,
,,,,,,,,,6.0,,17.1,,,,,,55,,,,,,,,,,,,,,,,,,,,1200,,15,,,,5,,
,,,,,,,,,7.0,,17.3,,,,,,55,,,,,,,,,,,,,,,,,,,,1200,,15,,,,6,,
,,,,,,,,,15.0,,52.4,,,,,,57,,,,,,,,,,,,,,,,,,,,1200,,15,,,,9,,
,,,,,,,,,13.0,,26.1,,,,,,57,,,,,,,,,,,,,,,,,,,,1200,,15,,,,4,,
,,,,,,,,,8.0,,18.1,,,,,,57,,,,,,,,,,,,,,,,,,,,1200,,15,,,,4,,
,,,,,,,,,2.0,,3.9,,,,,,57,,,,,,,,,,,,,,,,,,,,1200,,15,,,,5,,
,,,,,,,,,5.0,,16.6,,,,,,57,,,,,,,,,,,,,,,,,,,,1200,,15,,,,4,,
,,,,,,,,,10.0,,22.7,,,,,,57,,,,,,,,,,,,,,,,,,,,1200,,15,,,,5,,
,,,,,,,,,11.0,,22.8,,,,,,55,,,,,,,,,,,,,,,,,,,,1200,,15,,,,5,,
,,,,,,,,,1.0,,3.3,,,,,,55,,,,,,,,,,,,,,,,,,,,1200,,15,,,,5,,
,,,,,,,,,14.0,,37.2,,,,,,57,,,,,,,,,,,,,,,,,,,,1200,,15,,,,8,,
,,,,,,,,,3.0,,7.0,,,,,,55,,,,,,,,,,,,,,,,,,,,1200,,15,,,,4,,
,,,,,,,,,4.0,,15.9,,,,,,55,,,,,,,,,,,,,,,,,,,,1650,,14,,,,4,,
,,,,,,,,,6.0,,40.3,,,,,,55,,,,,,,,,,,,,,,,,,,,1650,,14,,,,7,,
,,,,,,,,,10.0,,115.4,,,,,,57,,,,,,,,,,,,,,,,,,,,1650,,14,,,,4,,
,,,,,,,,,9.0,,109.9,,,,,,57,,,,,,,,,,,,,,,,,,,,1650,,14,,,,4,,
,,,,,,,,,3.0,,14.6,,,,,,57,,,,,,,,,,,,,,,,,,,,1650,,14,,,,5,,
,,,,,,,,,5.0,,24.9,,,,,,57,,,,,,,,,,,,,,,,,,,,1650,,14,,,,5,,
,,,,,,,,,1.0,,1.1,,,,,,57,,,,,,,,,,,,,,,,,,,,1650,,14,,,,4,,
,,,,,,,,,12.0,,202.2,,,,,,53,,,,,,,,,,,,,,,,,,,,1650,,14,,,,4,,
,,,,,,,,,7.0,,63.7,,,,,,57,,,,,,,,,,,,,,,,,,,,1650,,14,,,,4,,
,,,,,,,,,13.0,,256.7,,,,,,53,,,,,,,,,,,,,,,,,,,,1650,,14,,,,6,,
,,,,,,,,,11.0,,138.0,,,,,,55,,,,,,,,,,,,,,,,,,,,1650,,14,,,,7,,
,,,,,,,,,14.0,,314.4,,,,,,53,,,,,,,,,,,,,,,,,,,,1650,,14,,,,8,,
,,,,,,,,,2.0,,10.8,,,,,,57,,,,,,,,,,,,,,,,,,,,1650,,14,,,,5,,
,,,,,,,,,8.0,,65.6,,,,,,57,,,,,,,,,,,,,,,,,,,,1650,,14,,,,6,,
,,,,,,,,,8.0,,22.9,,,,,,55,,,,,,,,,,,,,,,,,,,,920,,12,,,,4,,
,,,,,,,,,4.0,,11.7,,,,,,55,,,,,,,,,,,,,,,,,,,,920,,12,,,,4,,
,,,,,,,,,7.0,,22.0,,,,,,57,,,,,,,,,,,,,,,,,,,,920,,12,,,,5,,
,,,,,,,,,12.0,,232.9,,,,,,55,,,,,,,,,,,,,,,,,,,,920,,12,,,,5,,
,,,,,,,,,2.0,,3.6,,,,,,55,,,,,,,,,,,,,,,,,,,,920,,12,,,,4,,
,,,,,,,,,11.0,,68.1,,,,,,53,,,,,,,,,,,,,,,,,,,,920,,12,,,,7,,
,,,,,,,,,1.0,,2.4,,,,,,55,,,,,,,,,,,,,,,,,,,,920,,12,,,,4,,
,,,,,,,,,3.0,,5.6,,,,,,55,,,,,,,,,,,,,,,,,,,,920,,12,,,,5,,
,,,,,,,,,6.0,,21.4,,,,,,57,,,,,,,,,,,,,,,,,,,,920,,12,,,,4,,
,,,,,,,,,5.0,,14.9,,,,,,57,,,,,,,,,,,,,,,,,,,,920,,12,,,,4,,
,,,,,,,,,10.0,,32.6,,,,,,55,,,,,,,,,,,,,,,,,,,,920,,12,,,,4,,
,,,,,,,,,9.0,,24.1,,,,,,55,,,,,,,,,,,,,,,,,,,,920,,12,,,,5,,
,,,,,,,,,12.0,,90.3,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,9.0,,54.6,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,2.0,,2.9,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,4.0,,29.4,,,,,,53,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,1.0,,1.8,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,7.0,,48.1,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,11.0,,72.9,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,6.0,,36.6,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,3.0,,6.7,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,10.0,,67.4,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,5.0,,31.5,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,8.0,,49.8,,,,,,51,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,5.0,,10.3,,,,,,57,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,11.0,,21.8,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,2.0,,4.0,,,,,,53,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,10.0,,19.1,,,,,,57,,,,,,,,,,,,,,,,,,,,1400,,12,,,,6,,
,,,,,,,,,9.0,,18.1,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,12.0,,59.2,,,,,,54,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,7.0,,11.9,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,8.0,,17.1,,,,,,57,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,3.0,,8.1,,,,,,57,,,,,,,,,,,,,,,,,,,,1400,,12,,,,5,,
,,,,,,,,,4.0,,9.7,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,12,,,,5,,
,,,,,,,,,1.0,,3.6,,,,,,57,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,6.0,,11.5,,,,,,54,,,,,,,,,,,,,,,,,,,,1400,,12,,,,5,,
,,,,,,,,,6.0,,12.3,,,,,,57,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,5.0,,7.9,,,,,,53,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,4.0,,7.7,,,,,,57,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,1.0,,3.2,,,,,,53,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,11.0,,39.0,,,,,,54,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,8.0,,18.7,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,12,,,,6,,
,,,,,,,,,3.0,,6.4,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,7.0,,15.0,,,,,,57,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,12.0,,44.0,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,10.0,,29.7,,,,,,57,,,,,,,,,,,,,,,,,,,,1400,,12,,,,5,,
,,,,,,,,,9.0,,23.5,,,,,,53,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,2.0,,5.0,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,12,,,,5,,
,,,,,,,,,2.0,,3.7,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,4,,
,,,,,,,,,11.0,,51.1,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,4,,
,,,,,,,,,12.0,,86.0,,,,,,54,,,,,,,,,,,,,,,,,,,,1500,,12,,,,5,,
,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,4,,
,,,,,,,,,9.0,,20.1,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,5,,
,,,,,,,,,5.0,,12.6,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,4,,
,,,,,,,,,8.0,,20.0,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,4,,
,,,,,,,,,6.0,,13.5,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,5,,
,,,,,,,,,7.0,,17.6,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,4,,
,,,,,,,,,4.0,,10.3,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,5,,
,,,,,,,,,1.0,,2.9,,,,,,53,,,,,,,,,,,,,,,,,,,,1500,,12,,,,6,,
,,,,,,,,,3.0,,5.2,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,4,,
,,,,,,,,,2.0,,4.4,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,11.0,,89.2,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,5.0,,14.7,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,3.0,,4.7,,,,,,53,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,4.0,,9.6,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,6.0,,15.5,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,12.0,,108.5,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,10.0,,54.9,,,,,,53,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,1.0,,2.2,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,9.0,,48.6,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,8.0,,40.4,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,7.0,,21.9,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,2.0,,4.9,,,,,,57,,,,,,,,,,,,,,,,,,,,1700,,12,,,,4,,
,,,,,,,,,11.0,,167.5,,,,,,55,,,,,,,,,,,,,,,,,,,,1700,,12,,,,6,,
,,,,,,,,,12.0,,181.9,,,,,,57,,,,,,,,,,,,,,,,,,,,1700,,12,,,,6,,
,,,,,,,,,7.0,,13.0,,,,,,57,,,,,,,,,,,,,,,,,,,,1700,,12,,,,5,,
,,,,,,,,,3.0,,6.2,,,,,,57,,,,,,,,,,,,,,,,,,,,1700,,12,,,,4,,
,,,,,,,,,4.0,,9.4,,,,,,57,,,,,,,,,,,,,,,,,,,,1700,,12,,,,7,,
,,,,,,,,,1.0,,2.7,,,,,,57,,,,,,,,,,,,,,,,,,,,1700,,12,,,,5,,
,,,,,,,,,5.0,,9.5,,,,,,55,,,,,,,,,,,,,,,,,,,,1700,,12,,,,4,,
,,,,,,,,,10.0,,79.9,,,,,,57,,,,,,,,,,,,,,,,,,,,1700,,12,,,,5,,
,,,,,,,,,9.0,,17.5,,,,,,57,,,,,,,,,,,,,,,,,,,,1700,,12,,,,4,,
,,,,,,,,,8.0,,16.0,,,,,,57,,,,,,,,,,,,,,,,,,,,1700,,12,,,,6,,
,,,,,,,,,6.0,,12.4,,,,,,55,,,,,,,,,,,,,,,,,,,,1700,,12,,,,5,,
,,,,,,,,,4.0,,8.4,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,5,,
,,,,,,,,,3.0,,8.0,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,4,,
,,,,,,,,,11.0,,68.3,,,,,,53,,,,,,,,,,,,,,,,,,,,1500,,12,,,,5,,
,,,,,,,,,1.0,,2.2,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,6,,
,,,,,,,,,8.0,,28.4,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,5,,
,,,,,,,,,12.0,,241.7,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,8,,
,,,,,,,,,2.0,,3.7,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,6,,
,,,,,,,,,7.0,,25.1,,,,,,56,,,,,,,,,,,,,,,,,,,,1500,,12,,,,11,,
,,,,,,,,,5.0,,13.5,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,7,,
,,,,,,,,,6.0,,16.9,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,4,,
,,,,,,,,,10.0,,66.0,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,5,,
,,,,,,,,,9.0,,30.4,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,5,,
,,,,,,,,,11.0,,58.4,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,7,,
,,,,,,,,,6.0,,13.5,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,4,,
,,,,,,,,,10.0,,32.8,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,6,,
,,,,,,,,,1.0,,3.3,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,4,,
,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,8,,
,,,,,,,,,5.0,,12.5,,,,,,53,,,,,,,,,,,,,,,,,,,,1500,,12,,,,4,,
,,,,,,,,,4.0,,8.8,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,6,,
,,,,,,,,,7.0,,13.5,,,,,,51,,,,,,,,,,,,,,,,,,,,1500,,12,,,,6,,
,,,,,,,,,2.0,,3.6,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,4,,
,,,,,,,,,12.0,,78.9,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,6,,
,,,,,,,,,9.0,,24.5,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,4,,
,,,,,,,,,3.0,,4.5,,,,,,53,,,,,,,,,,,,,,,,,,,,1500,,12,,,,4,,
,,,,,,,,,7.0,,12.5,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,2.0,,5.6,,,,,,52,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,4.0,,6.9,,,,,,52,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,12.0,,79.9,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,8.0,,15.5,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,10.0,,56.9,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,3.0,,6.7,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,11.0,,70.4,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,6.0,,11.6,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,1.0,,2.8,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,9.0,,18.9,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,5.0,,10.4,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,3,,
,,,,,,,,,9.0,,23.6,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,5,,
,,,,,,,,,12.0,,60.4,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,8,,
,,,,,,,,,3.0,,6.5,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,4,,
,,,,,,,,,7.0,,18.1,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,6,,
,,,,,,,,,1.0,,3.4,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,4,,
,,,,,,,,,5.0,,12.1,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,6,,
,,,,,,,,,6.0,,14.2,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,5,,
,,,,,,,,,4.0,,6.6,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,5,,
,,,,,,,,,10.0,,24.3,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,9,,
,,,,,,,,,8.0,,22.1,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,4,,
,,,,,,,,,2.0,,3.6,,,,,,55,,,,,,,,,,,,,,,,,,,,1500,,12,,,,4,,
,,,,,,,,,11.0,,54.2,,,,,,57,,,,,,,,,,,,,,,,,,,,1500,,12,,,,8,,
,,,,,,,,,9.0,,13.4,,,,,,57,,,,,,,,,,,,,,,,,,,,1700,,12,,,,7,,
,,,,,,,,,12.0,,223.6,,,,,,57,,,,,,,,,,,,,,,,,,,,1700,,12,,,,9,,
,,,,,,,,,11.0,,204.0,,,,,,55,,,,,,,,,,,,,,,,,,,,1700,,12,,,,5,,
,,,,,,,,,1.0,,4.0,,,,,,57,,,,,,,,,,,,,,,,,,,,1700,,12,,,,4,,
,,,,,,,,,8.0,,12.4,,,,,,57,,,,,,,,,,,,,,,,,,,,1700,,12,,,,5,,
,,,,,,,,,2.0,,4.5,,,,,,55,,,,,,,,,,,,,,,,,,,,1700,,12,,,,4,,
,,,,,,,,,7.0,,11.6,,,,,,57,,,,,,,,,,,,,,,,,,,,1700,,12,,,,5,,
,,,,,,,,,5.0,,9.7,,,,,,57,,,,,,,,,,,,,,,,,,,,1700,,12,,,,5,,
,,,,,,,,,4.0,,9.4,,,,,,57,,,,,,,,,,,,,,,,,,,,1700,,12,,,,8,,
,,,,,,,,,3.0,,5.6,,,,,,53,,,,,,,,,,,,,,,,,,,,1700,,12,,,,5,,
,,,,,,,,,6.0,,11.0,,,,,,57,,,,,,,,,,,,,,,,,,,,1700,,12,,,,7,,
,,,,,,,,,10.0,,21.9,,,,,,57,,,,,,,,,,,,,,,,,,,,1700,,12,,,,8,,
,,,,,,,,,1.0,,4.2,,,,,,56,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,7.0,,12.6,,,,,,57,,,,,,,,,,,,,,,,,,,,1400,,12,,,,8,,
,,,,,,,,,10.0,,27.7,,,,,,51,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,8.0,,15.9,,,,,,54,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,2.0,,4.2,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,12,,,,7,,
,,,,,,,,,3.0,,5.7,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,6.0,,11.8,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,12,,,,5,,
,,,,,,,,,9.0,,16.8,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,12,,,,8,,
,,,,,,,,,5.0,,9.7,,,,,,52,,,,,,,,,,,,,,,,,,,,1400,,12,,,,8,,
,,,,,,,,,12.0,,105.0,,,,,,54,,,,,,,,,,,,,,,,,,,,1400,,12,,,,10,,
,,,,,,,,,4.0,,7.6,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,12,,,,7,,
,,,,,,,,,11.0,,34.0,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,12,,,,6,,
,,,,,,,,,9.0,,59.7,,,,,,57,,,,,,,,,,,,,,,,,,,,1400,,12,,,,5,,
,,,,,,,,,6.0,,13.7,,,,,,56,,,,,,,,,,,,,,,,,,,,1400,,12,,,,6,,
,,,,,,,,,12.0,,127.4,,,,,,54,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,10.0,,103.7,,,,,,57,,,,,,,,,,,,,,,,,,,,1400,,12,,,,5,,
,,,,,,,,,5.0,,13.4,,,,,,58,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,11.0,,107.5,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,4.0,,11.9,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,12,,,,7,,
,,,,,,,,,7.0,,16.0,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,12,,,,8,,
,,,,,,,,,8.0,,28.5,,,,,,52,,,,,,,,,,,,,,,,,,,,1400,,12,,,,5,,
,,,,,,,,,1.0,,2.7,,,,,,57,,,,,,,,,,,,,,,,,,,,1400,,12,,,,4,,
,,,,,,,,,2.0,,2.8,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,12,,,,5,,
,,,,,,,,,3.0,,6.7,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,12,,,,5,,
,,,,,,,,,7.0,,65.3,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,11,,,,4,,
,,,,,,,,,10.0,,114.3,,,,,,57,,,,,,,,,,,,,,,,,,,,1400,,11,,,,4,,
,,,,,,,,,8.0,,70.9,,,,,,54,,,,,,,,,,,,,,,,,,,,1400,,11,,,,4,,
,,,,,,,,,11.0,,215.0,,,,,,56,,,,,,,,,,,,,,,,,,,,1400,,11,,,,7,,
,,,,,,,,,3.0,,13.0,,,,,,52,,,,,,,,,,,,,,,,,,,,1400,,11,,,,4,,
,,,,,,,,,6.0,,61.4,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,11,,,,8,,
,,,,,,,,,2.0,,6.4,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,11,,,,4,,
,,,,,,,,,4.0,,14.2,,,,,,57,,,,,,,,,,,,,,,,,,,,1400,,11,,,,4,,
,,,,,,,,,5.0,,40.5,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,11,,,,8,,
,,,,,,,,,1.0,,1.2,,,,,,57,,,,,,,,,,,,,,,,,,,,1400,,11,,,,5,,
,,,,,,,,,9.0,,103.2,,,,,,55,,,,,,,,,,,,,,,,,,,,1400,,11,,,,5,,
