1ｺｰﾅｰ,2ｺｰﾅｰ,3ｺｰﾅｰ,4ｺｰﾅｰ,グレード,タイム,データソース,トラック,上がり3F,人気,付加賞金,単勝ｵｯｽﾞ,場名,天候,年,性別,所属,斤量,日,月,本賞金,母,母父,毛色,水分,父,父父,生年,生産者,着順_num,競走名,競走条件,競走種別,競走記号,脚質,誕生月,調教師,距離,重量種別,頭数,馬主,馬体重,馬場状態,馬齢,騎手,Ｒ
,,,,,,,,,7.0,,23.4,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,9,,,,3,,
,,,,,,,,,9.0,,53.1,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,9,,,,3,,
,,,,,,,,,1.0,,2.6,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,9,,,,3,,
,,,,,,,,,9.0,,72.0,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,9,,,,4,,
,,,,,,,,,1.0,,3.7,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,9,,,,4,,
,,,,,,,,,7.0,,13.7,,,,,,54,,,,,,,,,,,,,,,,,,,,1000,,9,,,,5,,
,,,,,,,,,4.0,,4.7,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,9,,,,5,,
,,,,,,,,,3.0,,4.3,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,9,,,,4,,
,,,,,,,,,5.0,,10.8,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,9,,,,4,,
,,,,,,,,,6.0,,12.6,,,,,,52,,,,,,,,,,,,,,,,,,,,1000,,9,,,,4,,
,,,,,,,,,8.0,,43.6,,,,,,57,,,,,,,,,,,,,,,,,,,,1000,,9,,,,7,,
,,,,,,,,,2.0,,3.9,,,,,,57,,,,,,,,,,,,,,,,,,,,1000,,9,,,,4,,
,,,,,,,,,4.0,,10.5,,,,,,57,,,,,,,,,,,,,,,,,,,,1200,,13,,,,9,,
,,,,,,,,,12.0,,98.5,,,,,,55,,,,,,,,,,,,,,,,,,,,1200,,13,,,,5,,
,,,,,,,,,7.0,,40.1,,,,,,57,,,,,,,,,,,,,,,,,,,,1200,,13,,,,5,,
,,,,,,,,,9.0,,41.5,,,,,,52,,,,,,,,,,,,,,,,,,,,1200,,13,,,,8,,
,,,,,,,,,5.0,,25.7,,,,,,57,,,,,,,,,,,,,,,,,,,,1200,,13,,,,5,,
,,,,,,,,,8.0,,40.7,,,,,,55,,,,,,,,,,,,,,,,,,,,1200,,13,,,,4,,
,,,,,,,,,10.0,,58.3,,,,,,55,,,,,,,,,,,,,,,,,,,,1200,,13,,,,5,,
