距離,頭数,馬名1_人気,馬名1_単勝ｵｯｽﾞ,馬名1_馬齢,馬名2_人気,馬名2_単勝ｵｯｽﾞ,馬名2_馬齢
1650,14,,,,,,
1650,14,,,,,,
1650,14,,,,,,
1650,14,,,,,,
1650,14,,,,,,
920,12,,,,,,
920,12,,,,,,
920,12,,,,,,
920,12,,,,,,
920,12,,,,,,
920,12,,,,,,
920,12,,,,,,
920,12,,,,,,
920,12,,,,,,
920,12,,,,,,
920,12,,,,,,
920,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1500,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,11,,,,,,
1400,11,,,,,,
1400,11,,,,,,
1400,11,,,,,,
1400,11,,,,,,
1400,11,,,,,,
1400,11,,,,,,
1400,11,,,,,,
1400,11,,,,,,
1400,11,,,,,,
1400,11,,,,,,
1400,11,,,,,,
1400,11,,,,,,
1400,11,,,,,,
1400,11,,,,,,
1400,11,,,,,,
1400,11,,,,,,
1400,11,,,,,,
1400,11,,,,,,
1400,11,,,,,,
1400,11,,,,,,
1400,11,,,,,,
1230,12,,,,,,
1230,12,,,,,,
1230,12,,,,,,
1230,12,,,,,,
1230,12,,,,,,
1230,12,,,,,,
1230,12,,,,,,
1230,12,,,,,,
1230,12,,,,,,
1230,12,,,,,,
1230,12,,,,,,
1230,12,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
1400,10,,,,,,
820,10,,,,,,
820,10,,,,,,
820,10,,,,,,
820,10,,,,,,
820,10,,,,,,
820,10,,,,,,
820,10,,,,,,
820,10,,,,,,
820,10,,,,,,
820,10,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
1400,12,,,,,,
